year,retirees,cbns_raw,prop_raw,cbns_rate,prop_rate,cbns_peak3,prop_peak3,provisional
1969,41,8,0.1951219512195122,16,0.3902439024390244,22,0.5365853658536586,FALSE
1970,45,5,0.1111111111111111,6,0.13333333333333333,23,0.5111111111111111,FALSE
1971,46,5,0.10869565217391304,14,0.30434782608695654,24,0.5217391304347826,FALSE
1972,53,7,0.1320754716981132,14,0.2641509433962264,23,0.4339622641509434,FALSE
1973,44,7,0.1590909090909091,10,0.22727272727272727,23,0.5227272727272727,FALSE
1974,48,5,0.10416666666666667,34,0.7083333333333334,25,0.5208333333333334,FALSE
1975,45,7,0.15555555555555556,9,0.2,26,0.5777777777777777,FALSE
1976,39,3,0.07692307692307693,8,0.20512820512820512,23,0.5897435897435898,FALSE
1977,63,3,0.047619047619047616,8,0.12698412698412698,23,0.36507936507936506,FALSE
1978,40,3,0.075,10,0.25,20,0.5,FALSE
1979,50,8,0.16,14,0.28,22,0.44,FALSE
1980,51,9,0.17647058823529413,12,0.23529411764705882,25,0.49019607843137253,FALSE
1981,42,2,0.047619047619047616,4,0.09523809523809523,20,0.47619047619047616,FALSE
1982,49,4,0.08163265306122448,12,0.24489795918367346,20,0.40816326530612246,FALSE
1983,49,4,0.08163265306122448,10,0.20408163265306123,22,0.4489795918367347,FALSE
1984,46,5,0.10869565217391304,12,0.2608695652173913,22,0.4782608695652174,FALSE
1985,65,11,0.16923076923076924,22,0.3384615384615385,39,0.6,FALSE
1986,51,11,0.21568627450980393,11,0.21568627450980393,32,0.6274509803921569,FALSE
1987,43,3,0.06976744186046512,6,0.13953488372093023,28,0.6511627906976745,FALSE
1988,40,2,0.05,6,0.15,22,0.55,FALSE
1989,51,7,0.13725490196078433,14,0.27450980392156865,33,0.6470588235294118,FALSE
1990,57,8,0.14035087719298245,12,0.21052631578947367,32,0.5614035087719298,FALSE
1991,54,15,0.2777777777777778,20,0.37037037037037035,31,0.5740740740740741,FALSE
1992,55,10,0.18181818181818182,14,0.2545454545454545,31,0.5636363636363636,FALSE
1993,60,8,0.13333333333333333,20,0.3333333333333333,32,0.5333333333333333,FALSE
1994,42,9,0.21428571428571427,9,0.21428571428571427,28,0.6666666666666666,FALSE
1995,53,11,0.20754716981132076,21,0.39622641509433965,36,0.6792452830188679,FALSE
1996,51,9,0.17647058823529413,16,0.3137254901960784,24,0.47058823529411764,FALSE
1997,43,10,0.23255813953488372,10,0.23255813953488372,26,0.6046511627906976,FALSE
1998,55,10,0.18181818181818182,14,0.2545454545454545,35,0.6363636363636364,FALSE
1999,59,9,0.15254237288135594,17,0.288135593220339,31,0.5254237288135594,FALSE
2000,61,17,0.2786885245901639,24,0.39344262295081966,44,0.7213114754098361,FALSE
2001,76,15,0.19736842105263158,22,0.2894736842105263,46,0.6052631578947368,FALSE
2002,52,14,0.2692307692307692,16,0.3076923076923077,34,0.6538461538461539,FALSE
2003,53,8,0.1509433962264151,14,0.2641509433962264,29,0.5471698113207547,FALSE
2004,58,8,0.13793103448275862,12,0.20689655172413793,36,0.6206896551724138,FALSE
2005,49,7,0.14285714285714285,13,0.2653061224489796,27,0.5510204081632653,FALSE
2006,54,6,0.1111111111111111,10,0.18518518518518517,26,0.48148148148148145,FALSE
2007,69,9,0.13043478260869565,10,0.14492753623188406,38,0.5507246376811594,FALSE
2008,55,5,0.09090909090909091,8,0.14545454545454545,29,0.5272727272727272,FALSE
2009,58,9,0.15517241379310345,13,0.22413793103448276,32,0.5517241379310345,FALSE
2010,60,4,0.06666666666666667,7,0.11666666666666667,35,0.5833333333333334,FALSE
2011,63,7,0.1111111111111111,8,0.12698412698412698,27,0.42857142857142855,FALSE
2012,65,4,0.06153846153846154,14,0.2153846153846154,35,0.5384615384615384,FALSE
2013,60,8,0.13333333333333333,8,0.13333333333333333,35,0.5833333333333334,FALSE
2014,62,8,0.12903225806451613,12,0.1935483870967742,39,0.6290322580645161,FALSE
2015,62,5,0.08064516129032258,6,0.0967741935483871,26,0.41935483870967744,FALSE
2016,70,9,0.12857142857142856,10,0.14285714285714285,32,0.45714285714285713,FALSE
2017,79,13,0.16455696202531644,16,0.20253164556962025,48,0.6075949367088608,FALSE
2018,52,13,0.25,15,0.28846153846153844,36,0.6923076923076923,FALSE
2019,64,10,0.15625,11,0.171875,39,0.609375,FALSE
2020,17,2,0.11764705882352941,2,0.11764705882352941,15,0.8823529411764706,FALSE
2021,75,14,0.18666666666666668,19,0.25333333333333335,40,0.5333333333333333,FALSE
2022,68,5,0.07352941176470588,11,0.16176470588235295,29,0.4264705882352941,FALSE
2023,71,4,0.056338028169014086,12,0.16901408450704225,39,0.5492957746478874,FALSE
2024,67,9,0.13432835820895522,18,0.26865671641791045,32,0.47761194029850745,FALSE
2025,110,25,0.22727272727272727,30,0.2727272727272727,68,0.6181818181818182,TRUE
