year,revenue_musd,payroll_usd,source,note,labShare
1990,1346.1,454422925,v1-hand-collected,NA,0.33758481910705
1991,1459.1,630008474,v1-hand-collected,NA,0.43177881844972926
1992,1583.6,783893948,v1-hand-collected,NA,0.49500754483455417
1993,1774.5,856648188,v1-hand-collected,NA,0.48275468469991545
1994,1687,884936262,v1-hand-collected,NA,0.5245620995850623
1995,1410.5,882082040,v1-hand-collected,NA,0.6253683374689827
1996,1847.2,895178844,v1-hand-collected,NA,0.48461392594196623
1997,2215.8,1061631360,v1-hand-collected,NA,0.4791187652315191
1998,2663.3,1210532333,v1-hand-collected,NA,0.45452346074418953
1999,2827.9,1445119433,v1-hand-collected,NA,0.5110221128752784
2000,3177.6,1686271795,v1-hand-collected,NA,0.5306746585473313
2001,3583,1962841814,v1-hand-collected,NA,0.54782076862964
2002,3652,2024680522,v1-hand-collected,NA,0.5544032097480832
2003,3878,2127863461,v1-hand-collected,NA,0.5487012534811758
2004,4269,2071265943,v1-hand-collected,NA,0.485187618411806
2005,4733,2191886898,v1-hand-collected,NA,0.46310730995140503
2006,5111,2326706685,v1-hand-collected,NA,0.4552351173938564
2007,5489,2476688987,v1-hand-collected,NA,0.4512095075605757
2008,5819,2686433458,v1-hand-collected,NA,0.46166582883656987
2009,5898,2655395194,v1-hand-collected,NA,0.4502195988470668
2010,6137,2730601685,v1-hand-collected,NA,0.4449407992504481
2011,6359,2786161291,v1-hand-collected,NA,0.4381445653404623
2012,6808,2940657192,v1-hand-collected,NA,0.4319414206815511
2013,7089,3187568088,v1-hand-collected,NA,0.4496498925095218
2014,7864,3453960397,v1-hand-collected,NA,0.4392116476347915
2015,8394,3658284542,v1-hand-collected,NA,0.43582136549916606
2016,9027,3937842897,v1-hand-collected,NA,0.43622941143236954
2017,9460,3878284045,v1-hand-collected,NA,0.4099666009513742
2018,9895,4141041635,v1-hand-collected,NA,0.41849839666498234
2019,10374,4007869480,v1-hand-collected,NA,0.3863379101600154
2020,NA,NA,forbes+spotrac-2026-07-12,"COVID 60-game season; revenue estimates 3400-4000, prorated pay; exclude",NA
2021,9560,3938603790,forbes+spotrac-2026-07-12,attendance-restricted season,0.4119878441422594
2022,10800,4506970470,forbes+spotrac-2026-07-12,NA,0.4173120805555556
2023,11600,4987765380,forbes+spotrac-2026-07-12,NA,0.42997977413793104
2024,12100,5099101800,forbes+spotrac-2026-07-12,NA,0.42141337190082645
2025,12500,5281263090,forbes+spotrac-2026-07-12,revenue is pre-Forbes industry estimate,0.4225010472
