year,team,payroll_usd,source,pay_pctile,prorated,tax_ratio
1985,ATL,14807000,lahman,1,FALSE,NA
1985,BAL,11560712,lahman,0.8,FALSE,NA
1985,BOS,10897560,lahman,0.64,FALSE,NA
1985,LAA,14427894,lahman,0.96,FALSE,NA
1985,CHW,9846178,lahman,0.44,FALSE,NA
1985,CHC,12702917,lahman,0.88,FALSE,NA
1985,CIN,8359917,lahman,0.2,FALSE,NA
1985,CLE,6551666,lahman,0.08,FALSE,NA
1985,DET,10348143,lahman,0.56,FALSE,NA
1985,HOU,9993051,lahman,0.48,FALSE,NA
1985,KCR,9321179,lahman,0.36,FALSE,NA
1985,LAD,10967917,lahman,0.68,FALSE,NA
1985,MIN,5764821,lahman,0.04,FALSE,NA
1985,ML4,11284107,lahman,0.76,FALSE,NA
1985,WSN,9470166,lahman,0.4,FALSE,NA
1985,NYY,14238204,lahman,0.92,FALSE,NA
1985,NYM,10834762,lahman,0.6,FALSE,NA
1985,OAK,9058606,lahman,0.28,FALSE,NA
1985,PHI,10124966,lahman,0.52,FALSE,NA
1985,PIT,9227500,lahman,0.32,FALSE,NA
1985,SDP,11036583,lahman,0.72,FALSE,NA
1985,SEA,4613000,lahman,0,FALSE,NA
1985,SFG,8221714,lahman,0.16,FALSE,NA
1985,STL,11817083,lahman,0.84,FALSE,NA
1985,TEX,7676500,lahman,0.12,FALSE,NA
1985,TOR,8812550,lahman,0.24,FALSE,NA
1986,ATL,17102786,lahman,0.92,FALSE,NA
1986,BAL,13001258,lahman,0.68,FALSE,NA
1986,BOS,14402239,lahman,0.76,FALSE,NA
1986,LAA,14427258,lahman,0.8,FALSE,NA
1986,CHW,10418819,lahman,0.36,FALSE,NA
1986,CHC,17208165,lahman,0.96,FALSE,NA
1986,CIN,11906388,lahman,0.56,FALSE,NA
1986,CLE,7809500,lahman,0.08,FALSE,NA
1986,DET,12335714,lahman,0.6,FALSE,NA
1986,HOU,9873276,lahman,0.24,FALSE,NA
1986,KCR,13043698,lahman,0.72,FALSE,NA
1986,LAD,14913776,lahman,0.84,FALSE,NA
1986,MIN,8748167,lahman,0.12,FALSE,NA
1986,ML4,9943642,lahman,0.32,FALSE,NA
1986,WSN,11103600,lahman,0.44,FALSE,NA
1986,NYY,18494253,lahman,1,FALSE,NA
1986,NYM,15393714,lahman,0.88,FALSE,NA
1986,OAK,9779421,lahman,0.2,FALSE,NA
1986,PHI,11590166,lahman,0.52,FALSE,NA
1986,PIT,10843500,lahman,0.4,FALSE,NA
1986,SDP,11380693,lahman,0.48,FALSE,NA
1986,SEA,5958309,lahman,0,FALSE,NA
1986,SFG,8947000,lahman,0.16,FALSE,NA
1986,STL,9875010,lahman,0.28,FALSE,NA
1986,TEX,6743119,lahman,0.04,FALSE,NA
1986,TOR,12611047,lahman,0.64,FALSE,NA
1987,ATL,16544560,lahman,0.96,FALSE,NA
1987,BAL,13900273,lahman,0.88,FALSE,NA
1987,BOS,10144167,lahman,0.36,FALSE,NA
1987,LAA,12843499,lahman,0.76,FALSE,NA
1987,CHW,10641843,lahman,0.44,FALSE,NA
1987,CHC,14307999,lahman,0.92,FALSE,NA
1987,CIN,9281500,lahman,0.32,FALSE,NA
1987,CLE,8513750,lahman,0.28,FALSE,NA
1987,DET,12122881,lahman,0.68,FALSE,NA
1987,HOU,12608371,lahman,0.72,FALSE,NA
1987,KCR,11828056,lahman,0.64,FALSE,NA
1987,LAD,13675403,lahman,0.8,FALSE,NA
1987,MIN,6397500,lahman,0.08,FALSE,NA
1987,ML4,7293224,lahman,0.2,FALSE,NA
1987,WSN,6942052,lahman,0.12,FALSE,NA
1987,NYY,17099714,lahman,1,FALSE,NA
1987,NYM,13846714,lahman,0.84,FALSE,NA
1987,OAK,11680839,lahman,0.56,FALSE,NA
1987,PHI,11514233,lahman,0.52,FALSE,NA
1987,PIT,7652000,lahman,0.24,FALSE,NA
1987,SDP,11065796,lahman,0.48,FALSE,NA
1987,SEA,2263500,lahman,0.04,FALSE,NA
1987,SFG,7290000,lahman,0.16,FALSE,NA
1987,STL,11758000,lahman,0.6,FALSE,NA
1987,TEX,880000,lahman,0,FALSE,NA
1987,TOR,10479501,lahman,0.4,FALSE,NA
1988,ATL,12728174,lahman,0.6,FALSE,NA
1988,BAL,13532075,lahman,0.76,FALSE,NA
1988,BOS,13896092,lahman,0.84,FALSE,NA
1988,LAA,11947388,lahman,0.4,FALSE,NA
1988,CHW,6390000,lahman,0.08,FALSE,NA
1988,CHC,13119198,lahman,0.72,FALSE,NA
1988,CIN,8888409,lahman,0.2,FALSE,NA
1988,CLE,8936500,lahman,0.24,FALSE,NA
1988,DET,12869571,lahman,0.64,FALSE,NA
1988,HOU,12286167,lahman,0.48,FALSE,NA
1988,KCR,14556562,lahman,0.88,FALSE,NA
1988,LAD,16850515,lahman,0.96,FALSE,NA
1988,MIN,12462666,lahman,0.56,FALSE,NA
1988,ML4,8402000,lahman,0.16,FALSE,NA
1988,WSN,9603333,lahman,0.32,FALSE,NA
1988,NYY,19441152,lahman,1,FALSE,NA
1988,NYM,15269314,lahman,0.92,FALSE,NA
1988,OAK,9690000,lahman,0.36,FALSE,NA
1988,PHI,13838000,lahman,0.8,FALSE,NA
1988,PIT,5998500,lahman,0.04,FALSE,NA
1988,SDP,9561002,lahman,0.28,FALSE,NA
1988,SEA,7342450,lahman,0.12,FALSE,NA
1988,SFG,12380000,lahman,0.52,FALSE,NA
1988,STL,12880000,lahman,0.68,FALSE,NA
1988,TEX,5342131,lahman,0,FALSE,NA
1988,TOR,12241225,lahman,0.44,FALSE,NA
1989,ATL,11112334,lahman,0.28,FALSE,NA
1989,BAL,8275167,lahman,0.04,FALSE,NA
1989,BOS,17481748,lahman,0.88,FALSE,NA
1989,LAA,15097833,lahman,0.6,FALSE,NA
1989,CHW,7265410,lahman,0,FALSE,NA
1989,CHC,10668000,lahman,0.2,FALSE,NA
1989,CIN,11072000,lahman,0.24,FALSE,NA
1989,CLE,9094500,lahman,0.08,FALSE,NA
1989,DET,15146404,lahman,0.64,FALSE,NA
1989,HOU,15029500,lahman,0.56,FALSE,NA
1989,KCR,18683568,lahman,0.92,FALSE,NA
1989,LAD,21071562,lahman,1,FALSE,NA
1989,MIN,15531666,lahman,0.68,FALSE,NA
1989,ML4,11533000,lahman,0.32,FALSE,NA
1989,WSN,13807389,lahman,0.44,FALSE,NA
1989,NYY,17114375,lahman,0.84,FALSE,NA
1989,NYM,19885071,lahman,0.96,FALSE,NA
1989,OAK,15613070,lahman,0.72,FALSE,NA
1989,PHI,10604000,lahman,0.16,FALSE,NA
1989,PIT,12737500,lahman,0.4,FALSE,NA
1989,SDP,14195000,lahman,0.48,FALSE,NA
1989,SEA,9779500,lahman,0.12,FALSE,NA
1989,SFG,14962834,lahman,0.52,FALSE,NA
1989,STL,16078833,lahman,0.76,FALSE,NA
1989,TEX,11893781,lahman,0.36,FALSE,NA
1989,TOR,16261666,lahman,0.8,FALSE,NA
1990,ATL,14555501,lahman,0.28,FALSE,NA
1990,BAL,9680084,lahman,0.04,FALSE,NA
1990,BOS,20558333,lahman,0.8,FALSE,NA
1990,LAA,21720000,lahman,0.92,FALSE,NA
1990,CHW,9491500,lahman,0,FALSE,NA
1990,CHC,13624000,lahman,0.16,FALSE,NA
1990,CIN,14370000,lahman,0.2,FALSE,NA
1990,CLE,14487000,lahman,0.24,FALSE,NA
